Wpisy tekstowe dla probki : Nr probki,"T2"
Wlasciwosci probki : Szerokosc,"10.00",mm
Wla�ciwo�ci pr�bki : Grubo��,"1.00",mm
Pole przekroju : Pole przekroju,"10.00",mm^2
Test : Tempo 1,"0.2",mm/min
Wlasciwosci probki : Rozpi�to�� podparcia,"80.00000",mm
Uwagi do probki : 1 Notatka o pr�bce,""

Godzina,obci��enie,Przemieszczenie przy zginaniu
(s),(N),(mm)
"59.30000","121.00709","0.19749"
"59.40000","121.22875","0.19782"
"59.50000","121.44364","0.19815"
"59.60000","121.66516","0.19847"
"59.70000","121.87292","0.19880"
"59.80000","122.10313","0.19916"
"59.90000","122.31474","0.19947"
"60.00000","122.52934","0.19979"
"60.10000","122.74886","0.20012"
"60.20000","122.95058","0.20044"
"60.30000","123.16028","0.20076"
"60.40000","123.37271","0.20108"
"60.50000","123.59794","0.20142"
"60.60000","123.80431","0.20174"
"60.70000","124.05273","0.20209"
"60.80000","124.29314","0.20244"
"60.90000","124.51778","0.20278"
"61.00000","124.73759","0.20312"
"61.10000","124.98585","0.20348"
"61.20000","125.21414","0.20382"
"61.30000","125.41665","0.20415"
"61.40000","125.62360","0.20447"
"61.50000","125.84922","0.20482"
"61.60000","126.06696","0.20515"
"61.70000","126.27389","0.20547"
"61.80000","126.48486","0.20581"
"61.90000","126.72301","0.20614"
"62.00000","126.94164","0.20648"
"62.10000","127.15482","0.20680"
"62.20000","127.36963","0.20715"
"62.30000","127.59198","0.20747"
"62.40000","127.81262","0.20781"
"62.50000","128.02538","0.20814"
"62.60000","128.24820","0.20848"
"62.70000","128.46948","0.20881"
"62.80000","128.67596","0.20913"
"62.90000","128.90367","0.20948"
"63.00000","129.12775","0.20980"
"63.10000","129.34465","0.21013"
"63.20000","129.53545","0.21044"
"63.30000","129.71695","0.21073"
"63.40000","129.94150","0.21106"
"63.50000","130.14993","0.21137"
"63.60000","130.37936","0.21170"
"63.70000","130.58566","0.21204"
"63.80000","130.81960","0.21238"
"63.90000","131.05441","0.21271"
"64.00000","131.27496","0.21305"
"64.10000","131.48956","0.21337"
"64.20000","131.70926","0.21370"
"64.30000","131.93515","0.21404"
"64.40000","132.14803","0.21438"
"64.50000","132.35506","0.21470"
"64.60000","132.58272","0.21503"
"64.70000","132.79387","0.21538"
"64.80000","133.01756","0.21571"
"64.90000","133.22256","0.21604"
"65.00000","133.42973","0.21636"
"65.10000","133.65092","0.21669"
"65.20000","133.85422","0.21702"
"65.30000","134.07436","0.21737"
"65.40000","134.29070","0.21770"
"65.50000","134.49065","0.21804"
"65.60000","134.69270","0.21837"
"65.70000","134.90970","0.21871"
"65.80000","135.12050","0.21904"
"65.90000","135.31668","0.21937"
"66.00000","135.52049","0.21971"
"66.10000","135.74634","0.22004"
"66.20000","135.95560","0.22038"
"66.30000","136.15042","0.22071"
"66.40000","136.35959","0.22104"
"66.50000","136.57161","0.22138"
"66.60000","136.78946","0.22170"
"66.70000","137.01231","0.22205"
"66.80000","137.21843","0.22238"
"66.90000","137.44267","0.22272"
"67.00000","137.65732","0.22304"
"67.10000","137.86131","0.22337"
"67.20000","138.06882","0.22369"
"67.30000","138.32228","0.22404"
"67.40000","138.55013","0.22438"
"67.50000","138.76851","0.22471"
"67.60000","138.97255","0.22504"
"67.70000","139.19743","0.22536"
"67.80000","139.44116","0.22571"
"67.90000","139.65474","0.22603"
"68.00000","139.86179","0.22636"
